|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 25 |  26 | 0.1853870967741935 | 0.0583451776649746 |    0.0 |  1027.9 | 1.6579032258064517 |  0.521776649746193 | 13 | 3.49 | 26.666666666666668 |  25 |      1 |     0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            0.0 |              1.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  1.0 |  0.0 |  1.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 26 |  27 | 0.1532533333333333 | 0.1532533333333333 |    0.0 |  1027.9 | 1.3705333333333334 | 1.3705333333333334 | 13 | 3.49 | 52.333333333333336 | 408 |      0 |     0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                1.0 |               0.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   1.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 27 |  28 | 0.0576774193548387 | 0.0576774193548387 |    0.0 |   159.9 | 0.5158064516129033 | 0.5158064516129033 | 13 | 3.49 |  59.16666666666666 | 108 |      0 |     0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   0.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  1.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 28 |  29 | 0.0554444444444444 | 0.0554444444444444 |    0.0 |  223.11 |             0.4958 |             0.4958 | 13 | 3.49 | 23.916666666666668 |  36 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |                    0.0 |                                   1.0 |                                   0.0 |                   0.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  0.0 |                         0.0 |                         0.0 |                       0.0 |                          1.0 |  1.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 29 |  30 | 0.1095066666666666 | 0.1095066666666666 |    0.0 |  734.49 |            0.97932 |            0.97932 | 13 | 3.49 | 35.333333333333336 |  86 |      0 |     1.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            0.0 |              1.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          1.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 30 |  31 |            0.29945 | 0.0855571428571428 |    0.0 |  1071.2 |              2.678 | 0.7651428571428571 | 13 | 3.49 | 40.833333333333336 |  12 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  1.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 31 |  32 | 0.2601224489795918 | 0.1370537634408602 |    0.0 |   569.9 | 2.3261224489795915 | 1.2255913978494624 | 13 | 3.49 |  56.91666666666666 |  24 |      0 |     1.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   0.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 32 |  33 | 0.0749111111111111 | 0.0481571428571428 |  66.96 |  602.94 | 0.6699333333333334 | 0.4306714285714286 | 13 | 3.49 |              30.25 |   6 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   1.0 |                                   0.0 |                   0.0 |                                      1.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 33 |  34 |          0.0950375 | 0.0691181818181818 |    0.0 |   679.9 | 0.8498749999999999 |  0.618090909090909 | 13 | 3.49 | 46.583333333333336 | 324 |      0 |     0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   1.0 |                   0.0 |                                      1.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 34 |  35 |             0.2758 | 0.0275799999999999 |    0.0 |   739.9 |  2.466333333333333 | 0.2466333333333333 | 13 | 3.49 | 30.166666666666668 |  79 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   1.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                1.0 |               0.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 35 |  36 | 0.0724864864864864 | 0.0724864864864864 |    0.0 |   239.9 | 0.6483783783783784 | 0.6483783783783784 | 13 | 3.49 | 53.583333333333336 | 240 |      0 |     0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 36 |  37 | 0.0346599999999999 | 0.0173299999999999 |    0.0 |   154.9 |             0.3098 |             0.1549 | 13 | 3.49 |              33.75 | 110 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 37 |  38 | 0.0960631578947368 | 0.0960631578947368 |    0.0 |  816.17 | 0.8591263157894736 | 0.8591263157894736 | 13 | 3.49 | 29.666666666666668 |  45 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  0.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 38 |  39 |  0.008526923076923 |  0.008526923076923 |   22.1 |  198.25 |            0.07625 |            0.07625 | 13 | 3.49 | 32.666666666666664 |  13 |      0 |     1.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    1.0 |                                   0.0 |                                   0.0 |                   0.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            1.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          1.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 39 |  40 |           0.066375 | 0.0482727272727272 |  52.81 |  474.89 |          0.5936125 | 0.4317181818181818 | 13 | 3.49 |  29.58333333333333 |  96 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      1.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      1.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            1.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 40 |  41 |          0.3703125 |          0.3703125 |    0.0 |   529.9 |           3.311875 |           3.311875 | 13 | 3.49 |  61.16666666666666 |  84 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  0.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 41 |  42 | 0.1443571428571428 |            0.10105 |    0.0 |  903.63 |             1.2909 |            0.90363 | 13 | 3.49 |  41.41666666666666 |   5 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  0.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  1.0 |  0.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 42 |  43 | 0.1501538461538461 | 0.0848695652173913 |  96.98 |  872.82 |             1.3428 | 0.7589739130434783 | 13 | 3.49 | 46.833333333333336 |  13 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  1.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 43 |  44 | 0.0955454545454545 | 0.0955454545454545 |    0.0 |   469.9 | 0.8543636363636363 | 0.8543636363636363 | 13 | 3.49 |  23.33333333333333 |  36 |      0 |     1.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 44 |  45 |            0.08048 |            0.08048 |    0.0 |   179.9 |             0.7196 |             0.7196 | 13 | 3.49 | 22.666666666666668 |   4 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      1.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                1.0 |               0.0 |  0.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 45 |  46 | 0.1062928571428571 | 0.1062928571428571 | 482.94 | 1932.06 | 1.3800428571428571 | 1.3800428571428571 | 13 | 0.01 |  29.33333333333333 | 110 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      1.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          1.0 |  1.0 |  0.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 46 |  47 | 0.2067999999999999 | 0.1088421052631578 |    0.0 |   554.8 | 1.8493333333333333 | 0.9733333333333332 | 13 | 3.49 | 32.666666666666664 |  48 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      1.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            1.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 47 |  48 |            0.07975 | 0.0464563106796116 |    0.0 |   469.9 | 0.7831666666666667 | 0.4562135922330096 | 13 | 2.49 | 43.083333333333336 |  24 |      0 |     0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      1.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         1.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 48 |  49 |            0.14254 |            0.14254 |    0.0 |   699.9 |             1.3998 |             1.3998 | 13 | 2.49 | 30.916666666666668 |  98 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             0.0 |            0.0 |            1.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 49 |  50 |           0.070675 | 0.0403857142857142 |    0.0 |   277.7 | 0.6942499999999999 | 0.3967142857142857 | 13 | 2.49 | 25.666666666666668 |  12 |      0 |     1.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   1.0 |                     0.0 |              0.0 |             0.0 |            1.0 |            0.0 |              0.0 |                1.0 |               0.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  1.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 50 |  51 |             0.0588 |             0.0588 |    0.0 |   259.9 | 0.5775555555555555 | 0.5775555555555555 | 13 | 2.49 | 33.833333333333336 |  89 |      0 |     0.0 |      0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              0.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  1.0 |  0.0 |  0.0 |  1.0 |   1.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
| 51 |  52 | 0.0613285714285714 |            0.04293 | 258.31 |  421.59 | 0.6022714285714286 | 0.4215899999999999 | 13 | 2.49 | 23.916666666666668 |  30 |      0 |     1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  0.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  1.0 |  1.0 |   0.0 |   1.0 |
